 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
198903,1.57,0.67,0.58,0.67,3.51,-0.89,0.55
198904,4.33,-0.68,-1.42,0.67,1.77,-0.65,-1.06
198905,3.35,-0.05,-0.88,0.79,1.52,-2.74,-1.72
198906,-1.35,-1.02,2.25,0.71,0.43,2.3,-0.65
198907,7.2,-4.14,-2.79,0.7,5.41,1.43,-1.77
198908,1.44,0.56,0.6,0.74,-0.12,1.85,0.15
198909,-0.76,0.32,-1.27,0.65,3.4,1.17,-2.82
198910,-3.67,-3.23,-1.11,0.68,1.32,-4.32,-3.53
198911,1.03,-1.24,-1.09,0.69,2.6,-1.75,-1.25
198912,1.16,-2.36,0.16,0.61,2.8,-2.56,-0.82
199001,-7.85,-1.24,0.85,0.57,-3.27,1.02,3.48
199002,1.11,0.99,0.64,0.57,-0.55,0.49,1.91
199003,1.83,1.5,-2.92,0.64,1.8,0.17,-0.24
199004,-3.36,-0.46,-2.59,0.69,2.39,-1.82,-1.18
199005,8.42,-2.53,-3.83,0.68,3.03,-0.35,0.99
199006,-1.09,1.4,-1.93,0.63,2.4,-0.22,-1.48
199007,-1.9,-3.12,-0.03,0.68,6.1,-0.68,-1.88
199008,-10.15,-3.57,1.64,0.66,1.88,-3.65,1.56
199009,-6.12,-3.65,0.64,0.6,5.78,-5.98,0.37
199010,-1.92,-5.57,0.1,0.68,6.71,-2.68,-3.38
199011,6.35,0.43,-3.1,0.57,-5.48,5.85,-0.63
199012,2.46,0.81,-1.7,0.6,0.29,-3.01,-2.08
199101,4.69,3.81,-1.6,0.52,-6.45,-1.93,6.31
199102,7.19,3.95,-0.58,0.48,-4.61,1.93,1.13
199103,2.65,3.93,-1.39,0.44,2.87,0.52,-0.45
199104,-0.28,0.48,1.5,0.53,-2.36,1.57,-1.22
199105,3.65,-0.4,-0.52,0.47,-0.11,0.08,1.37
199106,-4.94,0.13,1.15,0.42,0.47,2.06,-1.76
199107,4.24,-0.92,-1.32,0.49,4.32,2.13,0.72
199108,2.32,1.58,-0.78,0.46,1.57,-2.92,-0.5
199109,-1.59,1.64,-1.08,0.46,1.79,-0.76,-0.73
199110,1.29,0.81,-0.47,0.42,3.06,-1.18,2.35
199111,-4.19,-0.5,-1.89,0.39,1.14,-0.4,-2.75
199112,10.84,-2.24,-4.17,0.38,8.19,1.06,-0.9
199201,-0.59,8.46,4.71,0.34,-2.49,5.22,9.44
199202,1.09,0.87,6.47,0.28,-0.53,-2.9,5.27
199203,-2.66,-1.04,3.56,0.34,-0.29,-1.09,1.42
199204,1.07,-6.06,4.34,0.32,-2.58,-3.38,0.78
199205,0.3,0.41,1.19,0.28,0.21,-0.16,-0.5
199206,-2.34,-3.07,3.24,0.32,-0.58,0.91,1.21
199207,3.77,-0.47,-0.56,0.31,1.56,2.12,-1.36
199208,-2.38,-0.13,-1.1,0.26,-0.51,-1.56,-4.11
